movimentacao|id;movimentacao|parceiro|nome;movimentacao|valorTotal;movimentacao|dataNegociacao;Pago;movimentacao|parceiro|cpfCnpj;movimentacao|parceiro|celular;movimentacao|situacaoFinanceira
11200;ESTEIO IMOBILIARIA LTDA;R$ 210,00;02/01/2026;1;92918942000171;11942226419;RECEBIDO
11203;RAIZ LOGISTICA EIRELI;R$ 110,00;04/01/2026;1;85421039000135;11916856127;RECEBIDO
11208;LAGOA IMOBILIARIA LTDA;R$ 170,00;10/01/2026;1;91552695000170;11932753265;RECEBIDO
11210;LUMEN EDUCACAO LTDA;R$ 110,00;12/01/2026;1;29319562000184;11961568717;RECEBIDO
11214;FONTE PARTICIPACOES LTDA;R$ 340,00;27/01/2026;1;94225575000156;11921586511;RECEBIDO
11216;CEDRO EDUCACAO LTDA;R$ 140,00;31/01/2026;1;20412137000160;11958798821;RECEBIDO
11254;CEDRO EVENTOS LTDA;R$ 210,00;10/02/2026;1;79410093000182;11996004603;RECEBIDO
11259;VARANDA ALIMENTOS LTDA;R$ 280,00;16/02/2026;1;06757005000140;11925191953;RECEBIDO
11261;CAMILA TEIXEIRA;R$ 210,00;18/01/2026;1;68106909724;11987875823;RECEBIDO
11264;BRISA SERVICOS EIRELI;R$ 210,00;13/01/2026;1;17294797000180;11939420504;RECEBIDO
11266;ORION CONTABILIDADE S/A;R$ 340,00;18/02/2026;1;38635609000100;11976554962;RECEBIDO
11269;PRIMA LOGISTICA LTDA;R$ 190,00;18/02/2026;1;77189150000110;11902035405;RECEBIDO
11274;ORION TURISMO ME;R$ 170,00;26/01/2026;1;22728126000110;11913508932;RECEBIDO
11276;RAIZ TECNOLOGIA LTDA;R$ 210,00;20/01/2026;1;02063133000132;11978007930;RECEBIDO
11279;DUNA PARTICIPACOES LTDA;R$ 210,00;19/01/2026;0;11143887000193;11994273252;PENDENTE
11282;GAIA MARKETING LTDA;R$ 140,00;26/02/2026;1;39377266000193;11960756656;RECEBIDO
11284;CAMPO LOGISTICA LTDA;R$ 340,00;29/01/2026;1;81484662000186;11953473918;RECEBIDO
11288;ZENITE SERVICOS LTDA;R$ 140,00;10/01/2026;1;26567281000152;11930647360;RECEBIDO
11290;ZENITE MANUTENCAO LTDA;R$ 210,00;02/02/2026;1;81500401000102;11949479590;RECEBIDO
11295;GAIA ODONTOLOGIA LTDA;R$ 140,00;18/01/2026;1;13433629000177;11924296937;RECEBIDO
11296;MIRANTE LOGISTICA S/A;R$ 210,00;01/03/2026;1;60510713000127;11913210753;RECEBIDO
11299;ESTEIO ENGENHARIA S/A;R$ 280,00;08/01/2026;0;65503571000194;11967622427;PENDENTE
11303;FAROL LOGISTICA LTDA;R$ 190,00;19/01/2026;1;98692469000133;11900675588;RECEBIDO
11306;ESTEIO CONTABILIDADE LTDA;R$ 140,00;09/02/2026;1;48865529000102;11963081006;RECEBIDO
11308;SIMONE REIS MELO;R$ 140,00;12/01/2026;1;99487423240;11989655820;RECEBIDO
11313;ORION DISTRIBUIDORA S/A;R$ 210,00;07/01/2026;1;80408558000140;11981635970;RECEBIDO
11316;ERVAL MANUTENCAO ME;R$ 210,00;24/02/2026;1;22709956000108;11903356695;RECEBIDO
11318;XISTO LOGISTICA LTDA;R$ 340,00;13/02/2026;0;70787640000179;11997521386;PENDENTE
11320;ORION MANUTENCAO ME;R$ 190,00;04/01/2026;0;36497321000190;11972802781;PENDENTE
11325;GIRASSOL DISTRIBUIDORA EIRELI;R$ 49,90;25/02/2026;0;29283601000130;11926980597;PENDENTE
11327;HORIZONTE TRANSPORTES LTDA;R$ 170,00;23/01/2026;0;00040430000137;11971300087;PENDENTE
11331;ORION CONTABILIDADE LTDA;R$ 190,00;25/01/2026;0;24029458000131;11947381214;PENDENTE
11332;FONTE TRANSPORTES LTDA;R$ 210,00;19/01/2026;0;53104152000109;11950156340;PENDENTE
11337;ERVAL MARKETING LTDA;R$ 190,00;30/01/2026;0;86211791000114;11931339780;PENDENTE
11340;VARANDA CONTABILIDADE EIRELI;R$ 210,00;02/02/2026;0;80683252000100;11998557968;PENDENTE
11342;NORTE ODONTOLOGIA EIRELI;R$ 210,00;02/02/2026;0;99328614000164;11923529067;PENDENTE
11346;ESTEIO CONSULTORIA ME;R$ 140,00;06/01/2026;0;03171882000146;11991657712;PENDENTE
11347;OLIVEIRA ALIMENTOS S/A;R$ 210,00;17/01/2026;0;67566765000164;11998423368;PENDENTE
11351;CEDRO COMERCIO LTDA;R$ 210,00;08/01/2026;0;55492427000146;11963280568;PENDENTE
11354;CAMILA TAVARES;R$ 190,00;26/02/2026;0;50475269642;11998844312;PENDENTE
11358;FONTE SERVICOS ME;R$ 210,00;02/02/2026;0;47683270000108;11992601570;PENDENTE
11361;IPE COMERCIO S/A;R$ 190,00;01/03/2026;0;04703776000129;11948138170;PENDENTE
11362;CARLOS EDUARDO RAMOS;R$ 210,00;02/02/2026;0;63202808574;11955874410;PENDENTE
11365;ALPHA PARTICIPACOES LTDA;R$ 110,00;10/02/2026;0;98665377000164;11965777271;PENDENTE
11368;CARLOS EDUARDO ANDRADE;R$ 140,00;15/02/2026;0;30782960936;11990161806;PENDENTE
11372;ERVAL TRANSPORTES LTDA;R$ 210,00;17/02/2026;0;98894611000125;11960292669;PENDENTE
11376;VERTICE IMOBILIARIA ME;R$ 110,00;29/01/2026;0;60995344000100;11964365126;PENDENTE
11377;JUREMA ALIMENTOS EIRELI;R$ 110,00;04/02/2026;0;31740563000140;11953000951;PENDENTE
11382;BOREAL CONSULTORIA LTDA;R$ 110,00;07/02/2026;0;37666895000108;11919473838;PENDENTE
11384;DUNA IMOBILIARIA EIRELI;R$ 280,00;13/02/2026;0;73299995000107;11996066844;PENDENTE
11387;IPE CONTABILIDADE ME;R$ 210,00;31/01/2026;0;60113195000108;11991872999;PENDENTE
11391;ZENITE TRANSPORTES LTDA;R$ 210,00;17/02/2026;0;41990198000185;11931209947;PENDENTE
11392;ZENITE CONTABILIDADE EIRELI;R$ 49,90;08/02/2026;0;20107888000173;11929376064;PENDENTE
11396;PRISCILA DIAS;R$ 340,00;26/01/2026;0;36332165814;11987146626;PENDENTE
11398;MIRANTE PARTICIPACOES LTDA;R$ 210,00;28/02/2026;0;70653558000151;11936652305;PENDENTE
11401;PRIMA MARKETING LTDA;R$ 210,00;11/01/2026;0;47119050000156;11978542131;PENDENTE
11404;EDUARDO ANDRADE;R$ 210,00;10/02/2026;0;35712459270;11920886174;PENDENTE
11408;UNIAO TECNOLOGIA S/A;R$ 340,00;18/02/2026;0;02938502000193;11904525468;PENDENTE
11412;KAIRO SERVICOS S/A;R$ 210,00;24/01/2026;0;08467881000167;11951605565;PENDENTE
11413;IPE DISTRIBUIDORA LTDA;R$ 210,00;15/02/2026;0;10893917000116;11932438857;PENDENTE
11416;CAMILA PIRES;R$ 170,00;16/01/2026;0;63515287908;11993397046;PENDENTE
11421;ESTEIO MARKETING S/A;R$ 49,90;27/02/2026;0;64401087000191;11978317778;PENDENTE
11423;ALPHA CONTABILIDADE S/A;R$ 140,00;07/01/2026;0;41727953000133;11923924859;PENDENTE
11425;ZENITE SERVICOS LTDA;R$ 49,90;24/01/2026;0;66575704000109;11913384914;PENDENTE
11430;PRIMA CONTABILIDADE EIRELI;R$ 210,00;08/02/2026;0;59692557000183;11979043854;PENDENTE
11433;BRISA LOGISTICA LTDA;R$ 340,00;23/01/2026;0;68835033000195;11909498646;PENDENTE
11435;PATRICIA ANDRADE;R$ 170,00;19/02/2026;0;28339552961;11984512439;PENDENTE
11439;RODRIGO BARROS;R$ 210,00;17/02/2026;0;80637998417;11929203305;PENDENTE
11440;MARIANA CARVALHO;R$ 340,00;20/01/2026;0;84030134596;11999065682;PENDENTE
11445;DELTA TURISMO S/A;R$ 110,00;16/01/2026;0;00430178000172;11974162018;PENDENTE
11448;HORIZONTE TRANSPORTES S/A;R$ 210,00;29/01/2026;0;13307031000131;11941764735;PENDENTE
11449;CEDRO CONSULTORIA LTDA;R$ 210,00;21/02/2026;1;12974465000122;11925243746;RECEBIDO
11454;ALPHA TRANSPORTES ME;R$ 170,00;06/01/2026;1;36370339000127;11948360276;RECEBIDO
11457;XISTO COMERCIO S/A;R$ 49,90;21/02/2026;1;43704429000172;11970234516;RECEBIDO
11459;ERVAL MARKETING LTDA;R$ 49,90;08/01/2026;1;22989506000108;11992638180;RECEBIDO
11463;CAMPO EDUCACAO EIRELI;R$ 110,00;01/02/2026;1;20282742000164;11965498505;RECEBIDO
11465;LUCIANA TAVARES;R$ 210,00;06/02/2026;1;90644437308;11920231544;RECEBIDO
11469;MARESIA PARTICIPACOES ME;R$ 140,00;01/03/2026;1;62751231000194;11904322439;RECEBIDO
11470;BOREAL ENGENHARIA ME;R$ 49,90;12/02/2026;1;44576782000187;11997399810;RECEBIDO
11475;DELTA CONSULTORIA ME;R$ 140,00;17/02/2026;0;25571362000163;11952926660;PENDENTE
11478;SOLAR IMOBILIARIA S/A;R$ 170,00;13/01/2026;0;70418389000175;11908563650;PENDENTE
11480;QUARTZO TECNOLOGIA LTDA;R$ 340,00;11/02/2026;1;14024763000187;11938658213;RECEBIDO
11484;FONTE TURISMO S/A;R$ 280,00;01/02/2026;1;20969238000137;11951347836;RECEBIDO
11485;THIAGO SALES;R$ 140,00;14/01/2026;1;38279496109;11920257289;RECEBIDO
11490;SIMONE COSTA LIMA;R$ 140,00;28/01/2026;1;43892764539;11962658827;RECEBIDO
11491;HORIZONTE COMERCIO LTDA;R$ 340,00;22/02/2026;1;42592964000116;11904957537;RECEBIDO
11494;MIRANTE TRANSPORTES LTDA;R$ 210,00;03/02/2026;1;01883310000164;11968603275;RECEBIDO
11499;ARARA ALIMENTOS S/A;R$ 190,00;24/01/2026;1;80238682000104;11971904346;RECEBIDO
11500;ORION ENGENHARIA EIRELI;R$ 210,00;06/01/2026;1;35210936000121;11997510762;RECEBIDO
11504;ARARA EVENTOS EIRELI;R$ 140,00;11/02/2026;1;52852273000168;11962622138;RECEBIDO
11506;RAIZ IMOBILIARIA LTDA;R$ 210,00;13/01/2026;1;71382474000193;11919645825;RECEBIDO
11510;MARESIA MARKETING EIRELI;R$ 280,00;11/02/2026;1;49739440000154;11941136467;RECEBIDO
11516;SERRA COMERCIO S/A;R$ 210,00;01/02/2026;1;16807947000149;11939740661;RECEBIDO
11525;JOAO VITOR TEIXEIRA;R$ 110,00;15/01/2026;1;22093711441;11904207560;RECEBIDO
11537;DUNA SERVICOS LTDA;R$ 210,00;15/01/2026;0;58432072000198;11943581926;PENDENTE
11544;INVERNO PARTICIPACOES S/A;R$ 210,00;17/02/2026;0;01809992000165;11947981925;PENDENTE
11545;UNIAO LOGISTICA S/A;R$ 49,90;12/02/2026;1;88303721000111;11921491890;RECEBIDO
11550;RAIZ EVENTOS S/A;R$ 210,00;20/01/2026;1;68931996000192;11921643274;RECEBIDO
11561;VARANDA ASSESSORIA EIRELI;R$ 210,00;09/02/2026;1;79300828000115;11976169875;RECEBIDO
11563;VANESSA PIRES;R$ 110,00;27/01/2026;1;76447523452;11960645507;RECEBIDO
11566;GAIA SERVICOS EIRELI;R$ 280,00;17/02/2026;1;98438981000158;11993806393;RECEBIDO
11588;DELTA LOGISTICA EIRELI;R$ 170,00;25/01/2026;0;99809096000109;11998545858;PENDENTE
11593;ORION COMERCIO S/A;R$ 210,00;01/03/2026;1;91371054000119;11935710492;RECEBIDO
11601;NORTE LOGISTICA ME;R$ 210,00;23/01/2026;0;95290525000115;11947531656;PENDENTE
11604;MARCOS AURELIO ANDRADE;R$ 210,00;05/02/2026;1;32633765815;11941328210;RECEBIDO
11606;MIRANTE MANUTENCAO LTDA;R$ 49,90;22/01/2026;0;62952523000195;11949423263;PENDENTE
11608;IPE TRANSPORTES EIRELI;R$ 190,00;27/01/2026;1;38446639000178;11955253232;RECEBIDO
11615;THIAGO MACHADO;R$ 170,00;24/02/2026;1;43585068079;11901862955;RECEBIDO
11626;ZENITE COMERCIO LTDA;R$ 170,00;24/01/2026;1;28977701000102;11999674427;RECEBIDO
11635;RODRIGO FONSECA;R$ 49,90;13/02/2026;1;96523149378;11906600006;RECEBIDO
11640;DUNA MARKETING LTDA;R$ 280,00;22/02/2026;1;93755787000182;11969430084;RECEBIDO
11644;TAMBORIL MARKETING EIRELI;R$ 110,00;25/01/2026;1;01182365000147;11963161810;RECEBIDO
11649;RIACHO DISTRIBUIDORA S/A;R$ 140,00;08/02/2026;1;09414613000140;11969407464;RECEBIDO
11650;GIRASSOL EDUCACAO ME;R$ 49,90;12/02/2026;1;97233850000171;11945589268;RECEBIDO
11654;ERVAL DISTRIBUIDORA S/A;R$ 49,90;11/01/2026;0;73663420000121;11958326658;PENDENTE
11657;ALPHA TRANSPORTES LTDA;R$ 340,00;30/01/2026;1;14612613000194;11927393381;RECEBIDO
11660;VARANDA LOGISTICA LTDA;R$ 280,00;03/01/2026;1;77600108000140;11975600524;RECEBIDO
11663;RIACHO EVENTOS LTDA;R$ 190,00;11/02/2026;1;89889415000171;11963430036;RECEBIDO
11666;SERRA ASSESSORIA ME;R$ 280,00;16/01/2026;1;07053600000167;11905378817;RECEBIDO
11675;FAROL LOGISTICA LTDA;R$ 210,00;20/02/2026;1;54942645000172;11900174800;RECEBIDO
11680;ARARA ODONTOLOGIA ME;R$ 210,00;20/02/2026;1;29734592000157;11935460192;RECEBIDO
11691;BOREAL ENGENHARIA ME;R$ 210,00;08/01/2026;1;61312857000131;11997236069;RECEBIDO
11704;XISTO DISTRIBUIDORA EIRELI;R$ 210,00;13/01/2026;1;60186705000177;11961952536;RECEBIDO
11707;VERTICE COMERCIO LTDA;R$ 210,00;01/01/2026;0;52315408000156;11969525256;PENDENTE
11715;SERRA ASSESSORIA LTDA;R$ 210,00;23/01/2026;1;14473960000183;11959531515;RECEBIDO
11717;LAGOA TURISMO S/A;R$ 340,00;20/01/2026;1;58187562000176;11999005783;RECEBIDO
11733;INVERNO MARKETING S/A;R$ 170,00;30/01/2026;1;11949491000138;11941797491;RECEBIDO
11737;OLIVEIRA ASSESSORIA S/A;R$ 280,00;09/02/2026;0;18981208000102;11946995744;PENDENTE
11748;CEDRO DISTRIBUIDORA LTDA;R$ 340,00;27/02/2026;1;88186984000198;11903885587;RECEBIDO
11750;XISTO TURISMO ME;R$ 140,00;28/01/2026;1;27630102000147;11999108616;RECEBIDO
11752;THIAGO COSTA LIMA;R$ 170,00;16/01/2026;1;19601482820;11971739198;RECEBIDO
11765;RIACHO LOGISTICA LTDA;R$ 190,00;09/01/2026;1;97301949000163;11933788892;RECEBIDO
11775;PRIMA PARTICIPACOES LTDA;R$ 210,00;19/01/2026;1;05948861000110;11981187671;RECEBIDO
11791;FONTE IMOBILIARIA LTDA;R$ 110,00;16/02/2026;1;00833020000143;11901126061;RECEBIDO
11798;UNIAO SERVICOS S/A;R$ 110,00;12/02/2026;0;25634453000109;11932050490;PENDENTE
11801;ALPHA DISTRIBUIDORA LTDA;R$ 210,00;19/01/2026;1;69348870000152;11925065613;RECEBIDO
11805;ESTEIO ASSESSORIA EIRELI;R$ 49,90;01/03/2026;1;31291589000158;11918375639;RECEBIDO
11819;GUSTAVO REIS MELO;R$ 340,00;25/02/2026;1;92626150676;11950359425;RECEBIDO
11824;CARLOS EDUARDO FONSECA;R$ 190,00;06/02/2026;1;23556715221;11961759672;RECEBIDO
11830;BRISA ASSESSORIA ME;R$ 210,00;07/01/2026;1;38304710000188;11976630862;RECEBIDO
