Voucher;Nome da empresa;CNPJ;Data;Referencia;Iniciais;Situacao;Pagamento;Valor;Observacao;Nota enviada
13213531;HORIZONTE EDUCACAO LTDA;62777460000188;10/02/2026;Novo;Ds;Pago;Asaas;210,00;retornar dia 28;
13210953;VARANDA MARKETING LTDA;47.935.636/0001-99;01/01/2026;Google;Ds;Pago;Asaas;210,00;aguardando nota;
13206511;ESTEIO COMERCIO EIRELI;39128000000107;02/01/2026;Indicacao;Pc;Pago;Conta;280,00;ok;
13212453;VERTICE DISTRIBUIDORA S/A;52449915000182;17/02/2026;Renovacao;Ab;Pago;Conta;190,00;ok;
13201076;ERVAL TRANSPORTES LTDA;98.894.611/0001-25;17/02/2026;Apoio;So;Pago;Asaas;210,00;;sim
13202991;FONTE ASSESSORIA LTDA;67215851000122;27/02/2026;Contador;St;Pago;Conta;280,00;ok;
13206510;FONTE ASSESSORIA LTDA;44850473000153;13/01/2026;Cert Novo;Bp;Pago;Conta;210,00;;sim
13200612;ORION DISTRIBUIDORA S/A;80408558000140;07/01/2026;Contador;Jp;Pago;Asaas;230,00;retornar dia 28;sim
13209576;JOAO VITOR REIS MELO;86024034293;23/02/2026;Job Contabil;Et;Em aberto;Asaas;340,00;aguardando nota;
13213487;ERVAL COMERCIO S/A;54406833000186;15/01/2026;Indicacao;Ta;Pago;Conta;210,00;ok;
13206817;ESTEIO IMOBILIARIA ME;29729133000185;10/02/2026;Cert Novo;Wb;Em aberto;Conta;110,00;falar com o contador;
13204995;HORIZONTE EVENTOS LTDA;63.020.287/0001-31;27/01/2026;Renovacao;Et;Pago;Asaas;49,90;;
13209435;BRISA TURISMO LTDA;00916388000175;03/01/2026;Novo;Ds;Pago;Conta;210,00;;
13204006;BOREAL SERVICOS LTDA;62781121000175;14/02/2026;Novo;So;Pago;Asaas;210,00;retornar dia 28;
13211701;LUMEN TURISMO LTDA;68194982000133;15/02/2026;Contador;Bp;Em aberto;Conta;190,00;;
13208746;ZENITE ODONTOLOGIA S/A;43473414000141;09/02/2026;Novo;Bp;Em aberto;Conta;210,00;ok;
13203803;ALPHA DISTRIBUIDORA LTDA;69.348.870/0001-52;19/01/2026;Renovacao;Ab;Em aberto;Asaas;210,00;ok;
13203626;Riacho Logistica Ltda;97.301.949/0001-63;09/01/2026;Indicacao;Et;Em aberto;Asaas;190,00;;sim
13212672;QUARTZO LOGISTICA S/A;45236784000190;01/02/2026;Google;St;Pago;Asaas;49,90;;sim
13213283;VANESSA MORAES;67099059051;28/02/2026;Contrato;Bp;Pago;Asaas;340,00;ok;sim
13206300;CAMPO SEGURANCA S/A;01668079000196;15/02/2026;Cert Novo;Am;Em aberto;Asaas;110,00;ok;
13209787;SERRA MANUTENCAO LTDA;67149726000161;09/02/2026;Novo;Rm;Pago;Asaas;280,00;aguardando nota;sim
13211558;GAIA TURISMO LTDA;27772189000197;30/01/2026;Novo;Mc;Pago;Conta;110,00;retornar dia 28;
13211940;RIACHO EVENTOS S/A;88606897000142;04/01/2026;Apoio;Rm;Pago;Asaas;210,00;;sim
13214285;QUARTZO ASSESSORIA ME;93.124.388/0001-13;19/02/2026;Renovacao;Mc;Pago;Conta;210,00;;
13208633;SIMONE FONSECA;44547634499;21/01/2026;Contador;Bp;Em aberto;Conta;170,00;falar com o contador;
13207094;MARESIA ASSESSORIA EIRELI;68797850000104;14/01/2026;Job Contabil;So;Pago;Asaas;210,00;ok;
13201470;BRISA LOGISTICA LTDA;68.835.033/0001-95;23/01/2026;Job Contabil;Fv;Pago;Asaas;340,00;ok;
13209836;  FAROL TECNOLOGIA LTDA ;14.944.937/0001-20;26/02/2026;Contrato;St;Pago;Conta;210,00;falar com o contador;
13201436;ZENITE SERVICOS LTDA;66575704000109;24/01/2026;Contrato;Mc;Pago;Asaas;49,90;ok;
13200193;THIAGO TEIXEIRA;45004370807;17/01/2026;Contador;Jp;Em aberto;Asaas;190,00;ok;sim
13213373;QUARTZO TRANSPORTES LTDA;69894452000160;25/01/2026;Google;Am;Pago;Conta;280,00;ok;
13203280;MARIANA TEIXEIRA;409.285.732-30;12/02/2026;Renovacao;Bp;Pago;Conta;210,00;ok;
13212999;GIRASSOL MANUTENCAO LTDA;82339834000190;24/01/2026;Contador;So;Pago;Asaas;190,00;ok;
13204208;RAIZ CONSULTORIA LTDA;66914248000176;23/01/2026;Contador;Mc;Pago;Asaas;170,00;aguardando nota;sim
13206574;Solar Tecnologia S/A;20657342000196;12/02/2026;Novo;Et;Pago;Conta;;ok;
13201157;DUNA IMOBILIARIA EIRELI;73299995000107;13/02/2026;Apoio;Et;Pago;Asaas;280,00;contato por e-mail;
13207984;Serra Assessoria S/A;91935700000123;12/02/2026;Google;Ab;Em aberto;Asaas;340,00;;
13208549;GIRASSOL ODONTOLOGIA LTDA;11.984.396/0001-75;12/02/2026;Novo;Ab;Pago;Conta;210,00;ok;
13212252;QUARTZO EVENTOS EIRELI;76807535000130;28/02/2026;Apoio;Ta;Pago;Asaas;190,00;contato por e-mail;
13214097;SERRA ASSESSORIA S/A;44.589.916/0001-02;07/02/2026;Contrato;Ab;Pago;Asaas;170,00;falar com o contador;
13201942;ARARA EVENTOS EIRELI;52852273000168;11/02/2026;Novo;Am;Em aberto;Asaas;140,00;;
13207013;JUREMA ASSESSORIA LTDA;34653097000153;01/02/2026;Apoio;Ab;Em aberto;Conta;49,90;aguardando nota;
13212943;PEDRA DISTRIBUIDORA ME;;11/01/2026;Job Contabil;Am;Pago;Conta;49,90;ok;
13214321;IPE MANUTENCAO LTDA;78655358000140;21/01/2026;Contador;St;Pago;Conta;170,00;retornar dia 28;sim
13201276;EDUARDO ANDRADE;357.124.592-70;10/02/2026;Google;Ta;Pago;Asaas;210,00;ok;sim
13200804;VARANDA CONTABILIDADE EIRELI;80683252000100;02/02/2026;Cert Novo;Fv;Pago;Asaas;210,00;ok;
13206560;CAMPO ODONTOLOGIA LTDA;34273728000109;08/02/2026;Renovacao;Wb;Pago;Asaas;170,00;ok;sim
13213139;  GAIA ODONTOLOGIA LTDA ;83.511.919/0001-77;16/01/2026;Renovacao;Bp;Pago;Conta;340,00;falar com o contador;
13203640;TRILHA MARKETING;15.141.774/0001-00;01/03/2026;Apoio;St;Cortesia;Cortesia;49,90;;
13206019;Erval Marketing S/A;14418850000119;27/02/2026;Contador;Pc;Pago;Asaas;190,00;retornar dia 28;
13204216;  HORIZONTE CONSULTORIA LTDA ;59567501000105;25/02/2026;Contrato;Ds;Pago;Asaas;210,00;retornar dia 28;sim
13211979;LEANDRO COSTA LIMA;20628322813;01/02/2026;Novo;So;Pago;Asaas;140,00;retornar dia 28;
13201251;MIRANTE PARTICIPACOES LTDA;70653558000151;28/02/2026;Indicacao;Ds;Pago;Asaas;210,00;retornar dia 28;
13210629;Uniao Consultoria Ltda;62319838000108;16/01/2026;Indicacao;Ds;Pago;Conta;140,00;;
13204559;  JUREMA EDUCACAO LTDA ;17.385.019/0001-04;08/02/2026;Cert Novo;Pc;Em aberto;Asaas;110,00;aguardando nota;
13200512;FAROL LOGISTICA LTDA;98692469000133;19/01/2026;Contador;Mc;Pago;Asaas;160,00;ok;sim
13210060;CARLOS EDUARDO REIS MELO;363.760.414-94;03/02/2026;Renovacao;Jp;Pago;Asaas;190,00;retornar dia 28;sim
13210956;  PEDRA COMERCIO S/A ;;02/01/2026;Google;St;Pago;Conta;280,00;contato por e-mail;
13201118;JUREMA ALIMENTOS EIRELI;31740563000140;04/02/2026;Job Contabil;Am;Pago;Asaas;110,00;aguardando nota;
13200117;EDUARDO FONSECA;160.238.306-97;26/02/2026;Renovacao;Fv;Pago;Asaas;110,00;ok;
13203303;SERRA ASSESSORIA LTDA;14.473.960/0001-83;23/01/2026;Contrato;Ta;Em aberto;Asaas;210,00;falar com o contador;
13202606;IPE COMERCIO LTDA;10226938000188;09/02/2026;Contrato;Pc;Pago;Conta;280,00;retornar dia 28;
13206226;LAGOA TRANSPORTES LTDA;10868132000193;25/01/2026;Job Contabil;Wb;Cortesia;Cortesia;49,90;falar com o contador;sim
13214571;LAGOA ASSESSORIA ME;15975401000134;08/02/2026;Contrato;Bp;Pago;Conta;210,00;ok;sim
